"SampleIds","Gender","Runs","Biology"
"Sample_1","female","Run1","Activated_4hours"
"Sample_2","female","Run1","Activated_4hours"
"Sample_3","female","Run1","Activated_4hours"
"Sample_4","female","Run1","Activated_4hours"
"Sample_5","female","Run1","Activated_4hours"
"Sample_6","male","Run1","Activated_4hours"
"Sample_7","female","Run1","Activated_4hours"
"Sample_8","female","Run1","Activated_4hours"
"Sample_9","female","Run1","Activated_4hours"
"Sample_10","male","Run1","Activated_4hours"
"Sample_11","female","Run1","Activated_4hours"
"Sample_12","male","Run1","Activated_4hours"
"Sample_13","female","Run1","Activated_4hours"
"Sample_14","male","Run1","Activated_4hours"
"Sample_15","male","Run1","Activated_4hours"
"Sample_16","female","Run1","Activated_4hours"
"Sample_17","female","Run1","Activated_4hours"
"Sample_18","female","Run1","Activated_4hours"
"Sample_19","female","Run1","Activated_4hours"
"Sample_20","female","Run1","Activated_4hours"
"Sample_21","female","Run1","Activated_4hours"
"Sample_22","female","Run1","Activated_4hours"
"Sample_23","male","Run1","Activated_4hours"
"Sample_24","female","Run1","Activated_4hours"
"Sample_25","female","Run1","Activated_4hours"
"Sample_26","female","Run1","Activated_4hours"
"Sample_27","female","Run1","Activated_4hours"
"Sample_28","male","Run1","Activated_4hours"
"Sample_29","female","Run1","Activated_4hours"
"Sample_30","male","Run1","Activated_4hours"
"Sample_31","female","Run1","Activated_4hours"
"Sample_32","female","Run1","Activated_4hours"
"Sample_33","female","Run1","Activated_4hours"
"Sample_34","male","Run1","Activated_4hours"
"Sample_35","female","Run1","Activated_4hours"
"Sample_36","female","Run1","Activated_4hours"
"Sample_37","female","Run1","Activated_4hours"
"Sample_38","female","Run1","Activated_4hours"
"Sample_39","female","Run1","Activated_4hours"
"Sample_40","female","Run1","Activated_4hours"
"Sample_41","female","Run1","Activated_4hours"
"Sample_42","male","Run1","Activated_4hours"
"Sample_43","male","Run1","Activated_4hours"
"Sample_44","female","Run1","Activated_4hours"
"Sample_45","female","Run1","Activated_4hours"
"Sample_46","male","Run1","Activated_4hours"
"Sample_47","female","Run1","Activated_4hours"
"Sample_48","female","Run1","Activated_4hours"
"Sample_49","male","Run1","Activated_4hours"
"Sample_50","female","Run1","Activated_4hours"
"Sample_51","female","Run1","Activated_4hours"
"Sample_52","female","Run1","Activated_4hours"
"Sample_53","female","Run1","Activated_4hours"
"Sample_54","female","Run1","Activated_4hours"
"Sample_55","male","Run1","Activated_4hours"
"Sample_56","male","Run1","Activated_4hours"
"Sample_57","female","Run1","Activated_4hours"
"Sample_58","female","Run1","Activated_4hours"
"Sample_59","female","Run1","Activated_4hours"
"Sample_60","female","Run1","Activated_4hours"
"Sample_61","male","Run1","Activated_4hours"
"Sample_62","female","Run1","Activated_4hours"
"Sample_63","female","Run1","Activated_4hours"
"Sample_64","female","Run1","Activated_4hours"
"Sample_65","female","Run1","Activated_4hours"
"Sample_66","male","Run1","Activated_4hours"
"Sample_67","male","Run1","Activated_4hours"
"Sample_68","male","Run1","Activated_4hours"
"Sample_69","male","Run1","Activated_4hours"
"Sample_70","female","Run1","Activated_4hours"
