EntrezID	D_Ctrl_R1	D_TGFb_R1	D_Ctrl_R2	D_TGFb_R2	Hes_Ctrl_R1	Hes_TGFb_R1	Hes_Ctrl_R2	Hes_TGFb_R2	Hil_Ctrl_R1	Hil_Ctrl_R2	Hil_Ctrl_R3	Hil_TGFb_R1	Hil_TGFb_R2	Hil_TGFb_R3	M_Ctrl_R1	M_Ctrl_R2	M_Ctrl_R3	M_TGFb_R1	M_TGFb_R2	M_TGFb_R3	K_Ctrl_R1	K_Ctrl_R2	K_Ctrl_R3	K_TGFb_R1	K_TGFb_R2	K_TGFb_R3	S_A_Ctrl_R1	S_A_Ctrl_R2	S_A_Ctrl_R3	S_A_TGFb_R1	S_A_TGFb_R2	S_A_TGFb_R3
2	4.182898267	4.23420353	4.271957897	4.221931055	6.212082424	6.307131226	6.127600963	6.147888515	5.506770238	5.553145449	5.479789278	5.569615907	5.671408686	5.573898764	4.56085808	4.403456591	4.319724186	4.74427005	4.588233823	4.584527226	4.777384049	4.917127231	4.858408808	4.937630668	5.168481733	5.194139565	3.476009431	3.507338303	3.286059664	3.113493756	3.385346407	3.111587976
9	5.763352413	6.063185254	5.69800489	5.856127373	8.136113846	8.511205832	8.45449096	8.423705636	6.624454568	6.918824389	6.689677872	6.857543697	6.844987168	6.896003702	4.416876832	4.319870283	4.39309242	4.544959205	4.458978506	4.396294179	7.988627433	7.962890818	8.17177897	8.057741956	8.042637204	8.0809085	7.966643329	7.958267628	7.978372013	8.065126113	8.22297051	8.054848218
10	4.467304502	4.427405777	4.403148265	4.432530818	4.746119735	4.690117769	4.655948789	4.599946824	5.634858676	5.713779528	5.587488604	5.643846233	5.7143205	5.629158065	4.093639126	4.033749167	4.032734706	4.023617986	4.158607478	4.212378014	4.998610602	5.313192192	4.930239282	4.88716078	4.924362345	4.828075122	4.245783476	4.266803115	4.038101588	4.635477484	4.42200467	4.507647692
12	8.597185956	7.814175415	9.019140779	8.458034551	9.358339599	10.27592274	9.562256733	11.0088033	5.634858676	5.634623116	5.847292271	5.734798337	5.573898764	5.684634226	5.849423084	6.280765248	6.423798505	8.262809522	8.589996212	8.642910357	6.222574926	5.861236498	6.609449856	5.48872991	5.778058872	5.630986213	5.651366885	5.826696432	5.486164524	5.159404022	5.270932332	5.193440849
13	4.255488606	4.31705489	4.235952648	4.270768657	4.768152585	4.680770597	4.680770597	5.019424254	5.751174123	5.631893207	5.658378591	5.80225196	5.668515966	5.785495263	4.301765248	4.187032442	4.237484989	4.329612731	4.346938212	4.339517885	8.341011289	8.666608383	8.569381703	9.350325398	9.535267188	9.488942125	8.837405845	8.558101814	8.576167144	8.565532773	8.736989973	8.625079
14	8.779386502	8.512557392	8.5798521	8.465004264	10.14642652	9.988802386	10.00732041	9.949112382	7.983599499	8.389850841	8.134998637	8.375284303	8.59418939	8.41629525	10.06858426	10.09934018	10.02232442	10.09122512	10.13371149	10.18016288	9.504681384	9.056300891	9.158705977	8.926584733	9.110482038	8.891345365	9.497678536	9.377727542	9.472274397	9.272527796	9.458559344	9.424502068
15	5.759368532	5.627950815	5.416993767	5.476485505	4.346741192	4.322239313	4.013273547	4.206969713	5.543797663	5.420640333	5.592597044	5.62558526	5.582410654	5.723812961	4.006484517	3.6389439	3.728376755	3.668521703	3.653493994	3.61969271	4.455622036	4.404821663	4.181300042	4.438371171	4.570026289	4.385374623	4.114887315	4.443470486	4.268331988	4.08135861	4.19602449	4.147856282
16	7.783159596	7.539502952	8.11216878	7.853969658	10.12762669	10.09729254	10.0979831	10.15620049	9.905554729	10.17985489	9.985452384	9.787272602	9.750413473	9.67832466	10.89659321	10.84710299	10.89748914	10.54591469	10.59770149	10.55766741	10.44592267	10.21903615	10.06266436	9.938837472	9.900139568	9.883209875	10.78175521	10.60277923	10.67433735	9.998456005	10.02038953	10.02204614
18	5.446339542	6.107851046	5.465931282	6.307013968	6.373046457	8.039167111	6.198220882	8.107540845	5.83855757	5.567506265	5.746142303	5.758382302	5.87932775	5.869120896	6.567178386	6.716382643	6.74563277	7.144553967	6.800811841	6.614248389	5.805221436	6.240927647	6.215563258	7.399030726	7.292928764	7.322506685	3.675380937	3.303606825	3.254025336	7.249646736	7.680060141	7.529593062
19	4.19656905	4.44776209	4.299018446	4.618579041	6.366906463	8.391868456	7.067916121	8.780540881	11.63502525	11.65786166	11.47352929	12.9471728	12.92000901	12.90349234	7.304554366	7.356796854	7.44007121	8.411487087	8.312331347	8.269522944	5.147597582	5.522813942	5.430781444	7.089208352	7.32391788	6.490574561	4.061160838	4.319968576	4.263473273	4.208963293	4.678530948	4.417209966
