EntrezID	S_HCC_Ctrl_R1	S_HCC_Ctrl_R2	S_HCC_Ctrl_R3	S_HCC_TGFb_R1	S_HCC_TGFb_R2	S_HCC_TGFb_R3	S_NCI_Ctrl_R1	S_NCI_Ctrl_R2	S_NCI_Ctrl_R3	S_NCI_TGFb_R1	S_NCI_TGFb_R2	S_NCI_TGFb_R3	T_Ctrl1_R1	T_Ctrl1_R2	T_Ctrl1_R3	T_TGFb_R1	T_TGFb_R2	T_TGFb_R3	T_Ctrl2_R1	T_Ctrl2_R2	T_Ctrl2_R3	W_Ctrl_R1	W_Ctrl_R2	W_Ctrl_R3	W_TGFb_R1	W_TGFb_R2	W_TGFb_R3
2	3.378005361	3.44190133	3.658985552	3.562072249	3.592343522	3.752615747	5.123849079	5.170629847	5.150285287	5.087717624	4.802982697	4.539319955	4.881446	4.957741	4.957741	5.021006	4.957741	4.874664	5.134511	4.957741	5.099819	3.09268592	3.522514722	3.116517546	2.961264249	3.095647833	3.077958653
9	9.808724767	9.850604985	9.855068791	8.562213509	8.446298288	8.326316812	8.02390968	8.085010464	7.879816214	7.420857096	7.400648375	7.369982402	8.950681713	8.869001152	8.827853307	8.827853307	8.834212129	8.835467468	8.506163076	8.616943274	8.552184111	5.235870098	5.431020125	5.040573513	5.476286918	5.511954925	5.123399211
10	4.611708663	4.718516201	4.835700639	4.648048195	4.62455886	4.672415768	5.647239812	5.581731223	5.524095688	5.564653606	5.515069198	5.345369395	5.057659278	5.028979963	5.196755032	5.141568797	5.059402445	5.062695266	5.196449052	5.233412015	5.183326008	3.087464758	3.150152923	3.270087123	3.178775941	3.178775941	3.127421827
12	6.601486143	6.33150017	6.407015756	5.537424751	5.255373862	5.670024571	5.590889661	5.696827689	5.637324349	5.524755716	5.378618377	5.248657228	7.206788437	7.206788437	7.461161664	6.357786922	6.257915641	6.522609318	8.51491003	8.310762843	8.455021055	4.215635224	4.025099507	4.021180706	3.570745998	4.066278435	3.894421862
13	4.72606018	4.518533731	4.559143751	4.935457592	4.511420469	4.754320515	4.624876558	4.569919751	4.648632754	4.534500871	4.525735343	4.312714827	5.282877841	5.335218828	5.428163733	5.479170066	5.331138427	5.272948771	5.350130243	5.323150155	5.350431814	3.017747644	3.925514779	3.052982572	3.401726782	3.095995108	3.172233655
14	9.269044738	9.434560675	9.471772233	9.032226488	8.988579492	9.016916723	9.382541429	9.470100472	9.331570423	9.258574116	9.287160041	9.280490119	9.862338675	9.819057621	9.722844983	10.15920186	9.948421398	9.693687724	9.39104997	9.360824413	9.228029609	6.763627928	6.892833238	6.650002075	6.656763219	7.031176336	6.803445952
15	4.092798382	4.185750673	4.278702964	4.185750673	4.245345946	4.165045893	3.706131064	4.088896961	3.895866616	4.102872266	3.64442508	3.710569761	4.638372994	4.719698959	4.665564409	4.665564409	4.664241697	4.679359154	4.851199536	4.665564409	4.616086067	2.752336506	2.716121124	2.71677048	2.860463654	2.843450198	2.790777123
16	10.88408297	10.93142929	11.00589343	10.5578766	10.47115645	10.51336661	10.5050782	10.59031074	10.70322298	10.30629494	10.24004161	10.30020565	10.64333486	10.64333486	10.94832358	10.68191833	10.64853209	10.55290916	10.53806651	10.64333486	10.37022716	6.578754093	6.735708985	6.808984381	6.698541743	6.621464423	6.68937703
18	6.739767157	6.729950146	6.555929722	7.894639112	7.840882675	7.935203453	2.672253418	2.897936833	2.854673334	4.156335715	4.019027469	4.275778857	6.097994487	6.08393347	5.936684431	5.85115965	5.898927539	6.034869586	6.09870673	5.851436074	6.055368019	2.143911413	2.164547794	2.146454229	2.433457561	2.347544852	2.564361654
19	9.829400936	9.755261442	9.729215069	9.531828601	9.584665674	9.801379366	9.143480235	9.299584747	9.363588538	10.40423458	10.44207366	10.37939851	7.592355673	7.294966826	7.723884675	9.291940028	9.381522816	9.200177287	8.277724718	8.420146065	8.352575538	7.333692307	7.612244627	7.859803342	8.379980175	8.451487598	8.371618902
