SamleIds,Batch,Tissue
Sample_1,Batch A,Terminal Ileum
Sample_2,Batch A,Colorectal
Sample_3,Batch A,Terminal Ileum
Sample_4,Batch A,Colorectal
Sample_1,Batch A,Terminal Ileum
Sample_6,Batch A,Colorectal
Sample_7,Batch A,Terminal Ileum
Sample_8,Batch A,Colorectal
Sample_7,Batch A,Terminal Ileum
Sample_8,Batch A,Colorectal
Sample_7,Batch A,Terminal Ileum
Sample_12,Batch A,Colorectal
Sample_13,Batch A,Terminal Ileum
Sample_14,Batch A,Terminal Ileum
Sample_15,Batch A,Terminal Ileum
Sample_16,Batch A,Terminal Ileum
Sample_17,Batch A,Colorectal
Sample_18,Batch A,Terminal Ileum
Sample_19,Batch A,Colorectal
Sample_20,Batch A,Terminal Ileum
Sample_21,Batch A,Colorectal
Sample_22,Batch A,Terminal Ileum
Sample_23,Batch A,Terminal Ileum
Sample_24,Batch A,Colorectal
Sample_25,Batch A,Terminal Ileum
Sample_26,Batch A,Terminal Ileum
Sample_27,Batch A,Terminal Ileum
Sample_28,Batch A,Terminal Ileum
Sample_29,Batch A,Colorectal
Sample_20,Batch A,Terminal Ileum
Sample_31,Batch A,Terminal Ileum
Sample_32,Batch A,Terminal Ileum
Sample_33,Batch A,Terminal Ileum
Sample_34,Batch A,Terminal Ileum
Sample_35,Batch A,Colorectal
Sample_36,Batch A,Terminal Ileum
Sample_37,Batch A,Terminal Ileum
Sample_38,Batch A,Terminal Ileum
Sample_39,Batch A,Terminal Ileum
Sample_40,Batch A,Colorectal
Sample_41,Batch A,Terminal Ileum
Sample_28,Batch A,Terminal Ileum
Sample_43,Batch A,Terminal Ileum
Sample_44,Batch A,Terminal Ileum
Sample_45,Batch A,Terminal Ileum
Sample_46,Batch A,Terminal Ileum
Sample_47,Batch A,Terminal Ileum
Sample_27,Batch A,Terminal Ileum
Sample_49,Batch A,Colorectal
Sample_1,Batch A,Terminal Ileum
Sample_51,Batch A,Terminal Ileum
Sample_51,Batch A,Terminal Ileum
Sample_51,Batch A,Terminal Ileum
Sample_18,Batch A,Terminal Ileum
Sample_55,Batch A,Terminal Ileum
Sample_56,Batch A,Terminal Ileum
Sample_57,Batch A,Terminal Ileum
Sample_58,Batch A,Terminal Ileum
Sample_59,Batch A,Terminal Ileum
Sample_60,Batch A,Terminal Ileum
Sample_61,Batch A,Terminal Ileum
Sample_62,Batch A,Terminal Ileum
Sample_63,Batch A,Terminal Ileum
Sample_64,Batch A,Colorectal
Sample_65,Batch A,Terminal Ileum
Sample_66,Batch A,Terminal Ileum
