"GeneID"	"Symbol"	"description"
"8086"	"AAAS"	"aladin WD repeat nucleoporin"
"79719"	"AAGAB"	"alpha- and gamma-adaptin binding protein"
"14"	"AAMP"	"angio associated migratory cell protein"
"25980"	"AAR2"	"AAR2 splicing factor homolog"
"16"	"AARS"	"alanyl-tRNA synthetase"
"57505"	"AARS2"	"alanyl-tRNA synthetase 2, mitochondrial"
"80755"	"AARSD1"	"alanyl-tRNA synthetase domain containing 1"
"60496"	"AASDHPPT"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"
"26574"	"AATF"	"apoptosis antagonizing transcription factor"
"23456"	"ABCB10"	"ATP binding cassette subfamily B member 10"
"22"	"ABCB7"	"ATP binding cassette subfamily B member 7"
"5825"	"ABCD3"	"ATP binding cassette subfamily D member 3"
"6059"	"ABCE1"	"ATP binding cassette subfamily E member 1"
"23"	"ABCF1"	"ATP binding cassette subfamily F member 1"
"10061"	"ABCF2"	"ATP binding cassette subfamily F member 2"
"55324"	"ABCF3"	"ATP binding cassette subfamily F member 3"
"55347"	"ABHD10"	"abhydrolase domain containing 10"
"26090"	"ABHD12"	"abhydrolase domain containing 12"
"84945"	"ABHD13"	"abhydrolase domain containing 13"
"25864"	"ABHD14A"	"abhydrolase domain containing 14A"
"7920"	"ABHD16A"	"abhydrolase domain containing 16A"
"63874"	"ABHD4"	"abhydrolase domain containing 4"
"79575"	"ABHD8"	"abhydrolase domain containing 8"
"10006"	"ABI1"	"abl interactor 1"
"29777"	"ABT1"	"activator of basal transcription 1"
"28976"	"ACAD9"	"acyl-CoA dehydrogenase family member 9"
"37"	"ACADVL"	"acyl-CoA dehydrogenase, very long chain"
"116983"	"ACAP3"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"64746"	"ACBD3"	"acyl-CoA binding domain containing 3"
"91452"	"ACBD5"	"acyl-CoA binding domain containing 5"
"84320"	"ACBD6"	"acyl-CoA binding domain containing 6"
"22985"	"ACIN1"	"apoptotic chromatin condensation inducer 1"
"47"	"ACLY"	"ATP citrate lyase"
"55856"	"ACOT13"	"acyl-CoA thioesterase 13"
"10005"	"ACOT8"	"acyl-CoA thioesterase 8"
"23597"	"ACOT9"	"acyl-CoA thioesterase 9"
"51"	"ACOX1"	"acyl-CoA oxidase 1"
"8310"	"ACOX3"	"acyl-CoA oxidase 3, pristanoyl"
"52"	"ACP1"	"acid phosphatase 1, soluble"
"197322"	"ACSF3"	"acyl-CoA synthetase family member 3"
"2181"	"ACSL3"	"acyl-CoA synthetase long-chain family member 3"
"55902"	"ACSS2"	"acyl-CoA synthetase short-chain family member 2"
"55860"	"ACTR10"	"actin-related protein 10 homolog"
"10121"	"ACTR1A"	"ARP1 actin-related protein 1 homolog A, centractin alpha"
"10120"	"ACTR1B"	"ARP1 actin-related protein 1 homolog B, centractin beta"
"79913"	"ACTR5"	"ARP5 actin-related protein 5 homolog"
"93973"	"ACTR8"	"ARP8 actin-related protein 8 homolog"
"90"	"ACVR1"	"activin A receptor type 1"
"91"	"ACVR1B"	"activin A receptor type 1B"
"90956"	"ADCK2"	"aarF domain containing kinase 2"
"79934"	"COQ8B"	"coenzyme Q8B"
"128"	"ADH5"	"alcohol dehydrogenase 5 (class III), chi polypeptide"
"55256"	"ADI1"	"acireductone dioxygenase 1"
"51094"	"ADIPOR1"	"adiponectin receptor 1"
"79602"	"ADIPOR2"	"adiponectin receptor 2"
"132"	"ADK"	"adenosine kinase"
"23394"	"ADNP"	"activity dependent neuroprotector homeobox"
"84890"	"ADO"	"2-aminoethanethiol dioxygenase"
"141"	"ADPRH"	"ADP-ribosylarginine hydrolase"
"54936"	"ADPRHL2"	"ADP-ribosylhydrolase like 2"
"56985"	"ADPRM"	"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent"
"158"	"ADSL"	"adenylosuccinate lyase"
"166"	"AES"	"amino-terminal enhancer of split"
"27125"	"AFF4"	"AF4/FMR2 family member 4"
"54812"	"AFTPH"	"aftiphilin"
"3267"	"AGFG1"	"ArfGAP with FG repeats 1"
"55109"	"AGGF1"	"angiogenic factor with G-patch and FHA domains 1"
"10554"	"AGPAT1"	"1-acylglycerol-3-phosphate O-acyltransferase 1"
"56894"	"AGPAT3"	"1-acylglycerol-3-phosphate O-acyltransferase 3"
"137964"	"GPAT4"	"glycerol-3-phosphate acyltransferase 4"
"8540"	"AGPS"	"alkylglycerone phosphate synthase"
"191"	"AHCY"	"adenosylhomocysteinase"
"10598"	"AHSA1"	"activator of HSP90 ATPase activity 1"
"9255"	"AIMP1"	"aminoacyl tRNA synthetase complex interacting multifunctional protein 1"
"9049"	"AIP"	"aryl hydrocarbon receptor interacting protein"
"204"	"AK2"	"adenylate kinase 2"
"50808"	"AK3"	"adenylate kinase 3"
"10270"	"AKAP8"	"A-kinase anchoring protein 8"
"10142"	"AKAP9"	"A-kinase anchoring protein 9"
"56672"	"AKIP1"	"A-kinase interacting protein 1"
"79647"	"AKIRIN1"	"akirin 1"
"55122"	"AKIRIN2"	"akirin 2"
"10327"	"AKR1A1"	"aldo-keto reductase family 1 member A1"
"8574"	"AKR7A2"	"aldo-keto reductase family 7 member A2"
"207"	"AKT1"	"AKT serine/threonine kinase 1"
"84335"	"AKT1S1"	"AKT1 substrate 1"
"64400"	"AKTIP"	"AKT interacting protein"
"210"	"ALAD"	"aminolevulinate dehydratase"
"224"	"ALDH3A2"	"aldehyde dehydrogenase 3 family member A2"
"223"	"ALDH9A1"	"aldehyde dehydrogenase 9 family member A1"
"440138"	"ALG11"	"ALG11, alpha-1,2-mannosyltransferase"
"29880"	"ALG5"	"ALG5, dolichyl-phosphate beta-glucosyltransferase"
"79053"	"ALG8"	"ALG8, alpha-1,3-glucosyltransferase"
"79796"	"ALG9"	"ALG9, alpha-1,2-mannosyltransferase"
"8846"	"ALKBH1"	"alkB homolog 1, histone H2A dioxygenase"
"121642"	"ALKBH2"	"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase"
"221120"	"ALKBH3"	"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase"
"54890"	"ALKBH5"	"alkB homolog 5, RNA demethylase"
"57679"	"ALS2"	"ALS2, alsin Rho guanine nucleotide exchange factor"
"10189"	"ALYREF"	"Aly/REF export factor"
"55626"	"AMBRA1"	"autophagy and beclin 1 regulator 1"
"262"	"AMD1"	"adenosylmethionine decarboxylase 1"
"10393"	"ANAPC10"	"anaphase promoting complex subunit 10"
"51529"	"ANAPC11"	"anaphase promoting complex subunit 11"
"25847"	"ANAPC13"	"anaphase promoting complex subunit 13"
"25906"	"ANAPC15"	"anaphase promoting complex subunit 15"
"119504"	"ANAPC16"	"anaphase promoting complex subunit 16"
"29882"	"ANAPC2"	"anaphase promoting complex subunit 2"
"51433"	"ANAPC5"	"anaphase promoting complex subunit 5"
"51434"	"ANAPC7"	"anaphase promoting complex subunit 7"
"51479"	"ANKFY1"	"ankyrin repeat and FYVE domain containing 1"
"56172"	"ANKH"	"ANKH inorganic pyrophosphate transport regulator"
"54882"	"ANKHD1"	"ankyrin repeat and KH domain containing 1"
"404734"	"ANKHD1-EIF4EBP3"	"ANKHD1-EIF4EBP3 readthrough"
"55608"	"ANKRD10"	"ankyrin repeat domain 10"
"26057"	"ANKRD17"	"ankyrin repeat domain 17"
"23243"	"ANKRD28"	"ankyrin repeat domain 28"
"51239"	"ANKRD39"	"ankyrin repeat domain 39"
"157567"	"ANKRD46"	"ankyrin repeat domain 46"
"196527"	"ANO6"	"anoctamin 6"
"8125"	"ANP32A"	"acidic nuclear phosphoprotein 32 family member A"
"10541"	"ANP32B"	"acidic nuclear phosphoprotein 32 family member B"
"23520"	"ANP32C"	"acidic nuclear phosphoprotein 32 family member C"
"81611"	"ANP32E"	"acidic nuclear phosphoprotein 32 family member E"
"309"	"ANXA6"	"annexin A6"
"310"	"ANXA7"	"annexin A7"
"162"	"AP1B1"	"adaptor related protein complex 1 beta 1 subunit"
"164"	"AP1G1"	"adaptor related protein complex 1 gamma 1 subunit"
"8907"	"AP1M1"	"adaptor related protein complex 1 mu 1 subunit"
"160"	"AP2A1"	"adaptor related protein complex 2 alpha 1 subunit"
"161"	"AP2A2"	"adaptor related protein complex 2 alpha 2 subunit"
"1173"	"AP2M1"	"adaptor related protein complex 2 mu 1 subunit"
"1175"	"AP2S1"	"adaptor related protein complex 2 sigma 1 subunit"
"8546"	"AP3B1"	"adaptor related protein complex 3 beta 1 subunit"
"8943"	"AP3D1"	"adaptor related protein complex 3 delta 1 subunit"
"26985"	"AP3M1"	"adaptor related protein complex 3 mu 1 subunit"
"1176"	"AP3S1"	"adaptor related protein complex 3 sigma 1 subunit"
"10239"	"AP3S2"	"adaptor related protein complex 3 sigma 2 subunit"
"10717"	"AP4B1"	"adaptor related protein complex 4 beta 1 subunit"
"55745"	"AP5M1"	"adaptor related protein complex 5 mu 1 subunit"
"327"	"APEH"	"acylaminoacyl-peptide hydrolase"
